code,amt
IMXUSDT,1175140.991195139
SUIUSDT,1273128.460692014
USTCUSDT,1289703.4568165278
BCHUSDT,1307848.3714999515
APTUSDT,1343636.0064980208
ETCUSDT,1404647.3045384826
FTMUSDT,1448153.6481215623
BLURUSDT,1530497.7120530556
ICPUSDT,1580231.7213930557
LTCUSDT,1655059.6056687848
BAKEUSDT,1732422.6452434722
SEIUSDT,1775893.5129493403
NEARUSDT,1795968.3360739583
DYDXUSDT,1812433.0716172569
AUCTIONUSDT,1814735.9380235365
1000PEPEUSDT,1890167.9065192014
1000SHIBUSDT,1932072.489302604
STXUSDT,1951494.9369304166
ATOMUSDT,2004931.8118671526
1000RATSUSDT,2106237.3425601684
FILUSDT,2107912.049133889
ARBUSDT,2128148.9165534372
TRBUSDT,2176629.165359375
DOTUSDT,2263678.6545942016
WLDUSDT,2346511.446771979
MEMEUSDT,2652036.545430285
OPUSDT,2674134.1427358333
MATICUSDT,2946707.771819271
BNBUSDT,3054286.559796632
INJUSDT,3505698.277029757
LINKUSDT,3513870.6882951735
1000LUNCUSDT,4007267.4312779168
JTOUSDT,4153661.886801074
ACEUSDT,4588469.30257747
XRPUSDT,4599941.931287916
BIGTIMEUSDT,4615202.6791627435
TIAUSDT,4726958.229101389
ADAUSDT,5025860.150014723
DOGEUSDT,5410945.823023056
1000BONKUSDT,5474036.824798302
1000SATSUSDT,5695784.800665875
AVAXUSDT,8448714.920307292
ORDIUSDT,11172027.964030417
SOLUSDT,16001338.63481493
ETHUSDT,45048066.2505559
BTCUSDT,98405248.77415468
